Target Name	Sample Name	average CT	delta CT
vcan ex 3/4-1	293T-24h	20.03833333333333	7.269666666666664
vcan ex 3/4-1	293T-48h	19.441	6.301666666666666
vcan ex 3/4-1	293T-72h	20.115333333333332	6.964999999999998
vcan ex 3/4-1	HUVEC-48h	24.332666666666665	11.438999999999998
vcan ex 3/4-1	HUVEC-72h	24.316666666666666	10.739
vcan ex 3/4-1	Huvec-24h	23.07133333333333	8.926999999999998
vcan ex 3/4-2	293T-24h	18.580000000000002	5.8113333333333355
vcan ex 3/4-2	293T-48h	17.948333333333334	4.809000000000001
vcan ex 3/4-2	293T-72h	18.154666666666667	5.004333333333333
vcan ex 3/4-2	HUVEC-48h	20.546999999999997	7.653333333333331
vcan ex 3/4-2	HUVEC-72h	20.680333333333333	7.102666666666668
vcan ex 3/4-2	Huvec-24h	20.262333333333334	6.118
vcan ex 8-1	293T-24h	20.05366666666667	7.285000000000002
vcan ex 8-1	293T-48h	20.003333333333334	6.864000000000001
vcan ex 8-1	293T-72h	19.378	6.227666666666666
vcan ex 8-1	HUVEC-48h	26.50466666666667	13.611000000000002
vcan ex 8-1	HUVEC-72h	27.385666666666665	13.808
vcan ex 8-1	Huvec-24h	23.659999999999997	9.515666666666663
vcan ex8-2	293T-24h	19.81	7.041333333333332
vcan ex8-2	293T-48h	19.689	6.549666666666667
vcan ex8-2	293T-72h	19.781000000000002	6.630666666666668
vcan ex8-2	HUVEC-48h	25.430333333333333	12.536666666666667
vcan ex8-2	HUVEC-72h	25.929666666666666	12.352
vcan ex8-2	Huvec-24h	23.088333333333335	8.944
gapdh	293T-24h	12.768666666666666	0.0
gapdh	293T-48h	13.139333333333333	0.0
gapdh	293T-72h	13.150333333333334	0.0
gapdh	HUVEC-48h	12.893666666666666	0.0
gapdh	HUVEC-72h	13.577666666666666	0.0
gapdh	Huvec-24h	14.144333333333334	0.0
